Конфигурация;Цена ($);Количество запросов;Среднее время (мс);Медианное время (мс);90% Квантиль (мс);95% Квантиль (мс);99% Квантиль (мс);Минимальное время (мс);Минимальное время (мс);Ошибки (%);Пропускная способность (запрос/мин);Получено КБ/сек;Отправлено KБ/сек
Config 1;5200,00;260,00;1189,00;1169,00;1214,00;1227,00;1470,00;511,00;2454,00;100.000;1.98892;0.47;0.31
Config 2;9400,00;257,00;771,00;764,00;805,00;807,00;837,00;725,00;1164,00;61.089;2.83018;0.64;0.44
Config 3;11300,00;256,00;612,00;570,00;618,00;822,00;1808,00;525,00;1898,00;5.469;2.78983;0.63;0.44
TOTAL;;773;859;767;1201;1213;1471;511;2454;55.757;1.58676;0.36;0.25
